system,split,p-pos,r-pos,f-pos,p-neg,r-neg,f-neg,p-neu,r-neu,f-neu,p-macro,r-macro,f-macro
baseline,train,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.999,0.999,1.000,1.000,1.000
baseline,dev,0.572,0.604,0.588,0.598,0.611,0.604,0.532,0.458,0.492,0.567,0.558,0.562
baseline,test,0.564,0.623,0.592,0.592,0.594,0.593,0.528,0.441,0.481,0.562,0.553,0.557
improved,train,1.000,0.999,1.000,0.999,1.000,0.999,1.000,0.999,0.999,1.000,0.999,0.999
improved,dev,0.670,0.647,0.658,0.639,0.702,0.669,0.588,0.485,0.532,0.632,0.611,0.622
improved,test,0.662,0.654,0.658,0.641,0.687,0.663,0.583,0.500,0.538,0.629,0.614,0.621
system,split,p-pos,r-pos,f-pos,p-neg,r-neg,f-neg,p-neu,r-neu,f-neu,p-macro,r-macro,f-macro
baseline,train,1.000,0.999,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
baseline,dev,0.485,0.495,0.490,0.599,0.589,0.594,0.600,0.602,0.601,0.561,0.562,0.562
baseline,test,0.476,0.491,0.483,0.585,0.585,0.585,0.596,0.588,0.592,0.553,0.555,0.554
improved,train,1.000,0.999,0.999,1.000,0.999,0.999,0.999,1.000,0.999,0.999,0.999,0.999
improved,dev,0.559,0.491,0.523,0.660,0.627,0.643,0.635,0.689,0.661,0.618,0.602,0.610
improved,test,0.566,0.510,0.537,0.655,0.628,0.641,0.633,0.678,0.655,0.618,0.606,0.612
